model,condition,perturbation,x_value,macro_auroc,f1,auroc_drop,f1_drop,cosine_drift,l2_drift
I-JEPA-H/201,brightness/delta=-0.2,brightness,-0.2,0.909419324852957,0.4023017974098283,0.0068069475797174,-0.030196104215052,0.0403589941561222,10.842168807983398
I-JEPA-H/201,brightness/delta=-0.1,brightness,-0.1,0.9155415741361516,0.3923749734929228,0.0006846982965227,-0.0202692802981465,0.0115434015169739,5.734452247619629
I-JEPA-H/201,clean,brightness,0.0,0.9162262724326744,0.3721056931947762,0.0,0.0,0.0,0.0
I-JEPA-H/201,brightness/delta=+0.1,brightness,0.1,0.907422429233468,0.3386980338842768,0.0088038431992064,0.0334076593104993,0.0215868148952722,7.263062477111816
I-JEPA-H/201,brightness/delta=+0.2,brightness,0.2,0.8584142604473984,0.2986053617542398,0.0578120119852759,0.0735003314405364,0.1236860677599906,17.856719970703125
I-JEPA-H/201,contrast/factor=0.25,contrast,0.25,0.7708116598828666,0.1556956245230185,0.1454146125498078,0.2164100686717576,0.3980540037155151,34.88634490966797
I-JEPA-H/201,contrast/factor=0.5,contrast,0.5,0.8888516083230534,0.2926299017147062,0.0273746641096209,0.07947579148007,0.1225443333387374,19.25229263305664
I-JEPA-H/201,clean,contrast,1.0,0.9162262724326744,0.3721056931947762,0.0,0.0,0.0,0.0
I-JEPA-H/201,contrast/factor=1.5,contrast,1.5,0.8549208203665509,0.3693625028941226,0.0613054520661234,0.0027431903006535,0.1325927674770355,18.417724609375
I-JEPA-H/201,contrast/factor=2.0,contrast,2.0,0.796791890888984,0.3214043690324643,0.1194343815436904,0.0507013241623118,0.3142410814762115,29.039535522460938
I-JEPA-H/201,clean,gaussian_blur,0.0,0.9162262724326744,0.3721056931947762,0.0,0.0,0.0,0.0
I-JEPA-H/201,gaussian_blur/sigma=0.5,gaussian_blur,0.5,0.9095378666388196,0.3320859073315799,0.0066884057938547,0.0400197858631963,0.0235446989536285,8.182198524475098
I-JEPA-H/201,gaussian_blur/sigma=1.0,gaussian_blur,1.0,0.855872094170336,0.2284455143711789,0.0603541782623383,0.1436601788235973,0.2415888309478759,27.241539001464844
I-JEPA-H/201,gaussian_blur/sigma=2.0,gaussian_blur,2.0,0.7752304517893728,0.1674794263017339,0.1409958206433016,0.2046262668930422,0.4412423968315124,37.63249588012695
I-JEPA-H/201,gaussian_blur/sigma=3.0,gaussian_blur,3.0,0.7535821448131598,0.1700466657851113,0.1626441276195146,0.2020590274096649,0.5099291801452637,39.994964599609375
I-JEPA-H/201,clean,gaussian_noise,0.0,0.9162262724326744,0.3721056931947762,0.0,0.0,0.0,0.0
I-JEPA-H/201,gaussian_noise/sigma=0.05,gaussian_noise,0.05,0.6430667428733445,0.0824244203036553,0.2731595295593298,0.2896812728911209,0.872369647026062,71.23077392578125
I-JEPA-H/201,gaussian_noise/sigma=0.10,gaussian_noise,0.1,0.5960435731260078,0.0699112030324431,0.3201826993066666,0.3021944901623331,0.9631640911102296,83.79933166503906
I-JEPA-H/201,gaussian_noise/sigma=0.20,gaussian_noise,0.2,0.5860782487136474,0.0877336019606383,0.3301480237190269,0.2843720912341378,0.9598930478096008,81.693603515625
I-JEPA-H/201,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.5881830402690386,0.0869501283622673,0.3280432321636358,0.2851555648325088,0.9526808261871338,77.96617889404297
I-JEPA-H/95,brightness/delta=-0.2,brightness,-0.2,0.9001801669673822,0.3938618422892669,0.0103139422476185,-0.0454609021381192,0.0356189310550689,11.752676963806152
I-JEPA-H/95,brightness/delta=-0.1,brightness,-0.1,0.9084746790452312,0.3825384437756509,0.0020194301697695,-0.0341375036245031,0.0104662161320447,6.331809997558594
I-JEPA-H/95,clean,brightness,0.0,0.9104941092150008,0.3484009401511477,0.0,0.0,0.0,0.0
I-JEPA-H/95,brightness/delta=+0.1,brightness,0.1,0.9002881142926431,0.2884228682818646,0.0102059949223576,0.0599780718692831,0.0315044820308685,9.995241165161133
I-JEPA-H/95,brightness/delta=+0.2,brightness,0.2,0.8602962513491506,0.2435930411254276,0.0501978578658501,0.10480789902572,0.1691600233316421,24.16653633117676
I-JEPA-H/95,contrast/factor=0.25,contrast,0.25,0.7884999561920262,0.1664108664286411,0.1219941530229745,0.1819900737225066,0.2311146408319473,29.600994110107425
I-JEPA-H/95,contrast/factor=0.5,contrast,0.5,0.8736942232669404,0.2804411985825415,0.0367998859480603,0.0679597415686062,0.0740031749010086,16.755701065063477
I-JEPA-H/95,clean,contrast,1.0,0.9104941092150008,0.3484009401511477,0.0,0.0,0.0,0.0
I-JEPA-H/95,contrast/factor=1.5,contrast,1.5,0.862909204821459,0.3176830761442331,0.0475849043935416,0.0307178640069146,0.1097103506326675,18.869110107421875
I-JEPA-H/95,contrast/factor=2.0,contrast,2.0,0.80358688388118,0.3146266361458179,0.1069072253338206,0.0337743040053298,0.2554536163806915,30.08215713500977
