model,original_auroc,lesion_auroc,control_auroc,lesion_drop,control_drop,drop_delta_lesion_minus_control,lesion_pred_drop_absmax,control_pred_drop_absmax
I-JEPA-H/95,0.7469931942430319,0.7289805816688615,0.7331732051058047,0.0180126125741704,0.0138199891372271,0.004192623436943299,0.0954078584909439,0.0968469455838203
I-JEPA-H/201,0.7579895096159175,0.7505160448507852,0.7511228311866447,0.0074734647651323,0.0068666784292727,0.0006067863358596003,0.0996786803007125,0.0943555310368537
MAE-H/97,0.7186728570612837,0.7204624908940485,0.7193988056796509,-0.0017896338327647,-0.0007259486183671,-0.0010636852143976,0.10280042886734,0.122189275920391
