model,method,condition,perturbation,x_value,macro_auroc,auroc_drop,cosine_drift
I-JEPA-H/201,Partial FT,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.4948622490518626,0.4421155887493725,0.908342182636261
MAE-H/97,Partial FT,clean,clean,0.0,0.9503020951818982,0.0,0.0
MAE-H/97,Partial FT,gaussian_noise/sigma=0.05,gaussian_noise,0.05,0.8805169444609656,0.0697851507209326,0.3333057463169098
MAE-H/97,Partial FT,gaussian_noise/sigma=0.10,gaussian_noise,0.1,0.6984900854082879,0.2518120097736103,0.6442771553993225
MAE-H/97,Partial FT,gaussian_noise/sigma=0.20,gaussian_noise,0.2,0.5841545884524764,0.3661475067294218,0.7150266766548157
MAE-H/97,Partial FT,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.5695215102918034,0.3807805848900948,0.7442253232002258
MAE-H/300,Partial FT,clean,clean,0.0,0.9487192503384568,0.0,0.0
MAE-H/300,Partial FT,gaussian_noise/sigma=0.05,gaussian_noise,0.05,0.8203704921036343,0.1283487582348226,0.6887728571891785
MAE-H/300,Partial FT,gaussian_noise/sigma=0.10,gaussian_noise,0.1,0.5879618767614763,0.3607573735769807,0.8478165864944458
MAE-H/300,Partial FT,gaussian_noise/sigma=0.20,gaussian_noise,0.2,0.4623203772662759,0.486398873072181,0.7643176913261414
MAE-H/300,Partial FT,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.4850990109243932,0.4636202394140637,0.7601303458213806
