ablation,condition,macro_auroc,f1,raw_cosine_drift,adapter_cosine_drift,adapter_l2_drift,auroc_drop,model
full,clean,0.8610189971660192,0.4240981742561691,0.0,0.0,0.0,0.0,I-JEPA-H/95
full,noise_sigma=0.05,0.8705195202752518,0.1243671447828637,0.8899335861206055,0.0079565923660993,11.234813690185549,-0.0095005231092326,I-JEPA-H/95
full,noise_sigma=0.10,0.7966581998875645,0.0558667567871151,0.975327491760254,0.0085902912542223,11.877798080444336,0.0643607972784546,I-JEPA-H/95
full,brightness=-0.20,0.868394824982457,0.4253109619476226,0.0356220044195652,0.0013831211254,4.398374080657959,-0.0073758278164378,I-JEPA-H/95
full,brightness=+0.20,0.8568668170724344,0.3914919053042914,0.1691349744796753,0.0031133447773754,6.679056167602539,0.0041521800935847,I-JEPA-H/95
full,contrast=0.50,0.8740808226110313,0.3980815660736525,0.0704452693462371,0.0023424383252859,6.050529956817627,-0.0130618254450121,I-JEPA-H/95
full,contrast=1.50,0.8752446962552994,0.4257107073525,0.074835255742073,0.0017501045949757,4.968677997589111,-0.0142256990892802,I-JEPA-H/95
full,clean,0.86208483821641,0.4433933175282328,0.0,0.0,0.0,0.0,I-JEPA-H/201
full,noise_sigma=0.05,0.8616970778493254,0.0939015323542728,0.8739974498748779,0.0099451569840312,9.991092681884766,0.0003877603670846,I-JEPA-H/201
full,noise_sigma=0.10,0.8035238990009351,0.0555391995878811,0.9631897211074828,0.0110872816294431,10.75062370300293,0.0585609392154748,I-JEPA-H/201
full,brightness=-0.20,0.8720108872472933,0.4412574386480725,0.0403559580445289,0.0018972860416397,3.9062533378601074,-0.0099260490308832,I-JEPA-H/201
full,brightness=+0.20,0.8647179329777032,0.4298199436899655,0.1236830651760101,0.0035107971634715,5.405421733856201,-0.0026330947612931,I-JEPA-H/201
full,contrast=0.50,0.895924986320868,0.419704425946147,0.1162514016032219,0.0036293659359216,5.576136112213135,-0.033840148104458,I-JEPA-H/201
full,contrast=1.50,0.8830314565396071,0.4499791185155598,0.0916416496038436,0.0027467238251119,4.838335514068604,-0.0209466183231971,I-JEPA-H/201
no_repr,clean,0.8812783828509779,0.4325616479102246,0.0,0.0,0.0,0.0,I-JEPA-H/201
no_repr,noise_sigma=0.05,0.8501762578326132,0.0778397382605841,0.8739974498748779,0.5996333956718445,31.30872344970703,0.0311021250183647,I-JEPA-H/201
no_repr,noise_sigma=0.10,0.8035646881991629,0.0553636839351125,0.9631897211074828,0.6620344519615173,32.83180618286133,0.0777136946518149,I-JEPA-H/201
no_repr,brightness=-0.20,0.8847345469107653,0.4274187611325671,0.0403559580445289,0.058846216648817,10.106998443603516,-0.0034561640597873,I-JEPA-H/201
no_repr,brightness=+0.20,0.8610072333278455,0.4013510069122816,0.1236830651760101,0.1621918827295303,16.477338790893555,0.0202711495231324,I-JEPA-H/201
no_repr,contrast=0.50,0.8966380926523374,0.3862122028602352,0.1162514016032219,0.1904344111680984,18.1522274017334,-0.0153597098013594,I-JEPA-H/201
no_repr,contrast=1.50,0.889169928193095,0.4343857893084761,0.0916416496038436,0.1085005924105644,13.491846084594728,-0.0078915453421171,I-JEPA-H/201
no_pred,clean,0.8571906387772837,0.4360019516580539,0.0,0.0,0.0,0.0,I-JEPA-H/201
no_pred,noise_sigma=0.05,0.858385738501547,0.0962109110559121,0.8739974498748779,0.0067302142269909,11.371289253234863,-0.0011950997242632,I-JEPA-H/201
no_pred,noise_sigma=0.10,0.8026823359791567,0.0611982687277115,0.9631897211074828,0.0075644748285412,12.155961990356444,0.054508302798127,I-JEPA-H/201
no_pred,brightness=-0.20,0.8669419163978584,0.4248731702417755,0.0403559580445289,0.0011395710753276,4.103682994842529,-0.0097512776205747,I-JEPA-H/201
