group,n,bbox_area_frac_mean,target_logit_drop_mean,control_logit_drop_mean,delta_logit_drop_mean,delta_logit_ci95_low,delta_logit_ci95_high,delta_logit_pvalue,target_prob_drop_mean,control_prob_drop_mean,delta_prob_drop_mean,delta_prob_ci95_low,delta_prob_ci95_high,delta_prob_pvalue,lesion_cosine_drift_mean,control_cosine_drift_mean,delta_cosine_drift_mean,delta_cosine_ci95_low,delta_cosine_ci95_high,delta_cosine_pvalue,model
diffuse_or_global,1983,0.0374708057390883,0.1661127811552326,-0.0098148328573849,0.1759276140126175,0.1393098011341808,0.21615841656711,4.999750012499375e-05,0.0277958609197752,-0.0013303730422438,0.029126233962019,0.0229499581960326,0.0358312043190607,4.999750012499375e-05,0.0201195637745744,0.0102432546379605,0.009876309142125,0.0086151601825476,0.0112041301212547,4.999750012499375e-05,I-JEPA-H/95
localized,890,0.0362032611499656,0.1462365512265248,-0.0764254380770948,0.2226619893036196,0.1830094002339821,0.2636846625587034,4.999750012499375e-05,0.0234617466147559,-0.0066329558650973,0.0300947024798533,0.0239429231482385,0.0365059018720149,4.999750012499375e-05,0.0165354513050465,0.0123739316822619,0.0041615196115232,0.0018897411030455,0.0066283529657834,0.0003499825008749,I-JEPA-H/95
diffuse_or_global,1983,0.0374708057390883,0.1978769587983146,-0.0281667748192795,0.2260437336175942,0.1904677240083541,0.264491730192014,4.999750012499375e-05,0.0293915008570584,-0.0040212332756073,0.0334127341326658,0.0276469975665356,0.0395167367710114,4.999750012499375e-05,0.0233857174504001,0.0120400610059578,0.0113456564411253,0.0099900152481453,0.0127485988326952,4.999750012499375e-05,I-JEPA-H/201
localized,890,0.0362032611499656,0.0472358734964319,-0.1379443606591961,0.1851802341556281,0.1462139035397198,0.2251996799028907,4.999750012499375e-05,0.0103718700808253,-0.0160585673479886,0.0264304374288139,0.0201345027913306,0.0328319206714552,4.999750012499375e-05,0.0179408587766497,0.0132784775441026,0.0046623812256717,0.0027024694474823,0.0068062193624846,4.999750012499375e-05,I-JEPA-H/201
diffuse_or_global,1983,0.0374708057390883,-0.3033604667274506,-0.3447730811616191,0.0414126144341684,0.0251721766220797,0.0584329930831928,4.999750012499375e-05,-0.0571982103289094,-0.0633115768755738,0.0061133665466644,0.0028291286601352,0.0094907508263811,9.99950002499875e-05,0.0032495962088599,0.0027393219842012,0.0005102742241743,0.0004345530387086,0.0005923291017094,4.999750012499375e-05,MAE-H/97
localized,890,0.0362032611499656,-0.2094967534116814,-0.3295654498886191,0.1200686964769376,0.1021976402360276,0.1390889999212466,4.999750012499375e-05,-0.0291694987361225,-0.0479820017141991,0.0188125029780765,0.0155105219454023,0.0223422550452347,4.999750012499375e-05,0.0027870029545901,0.0028262407957023,-3.923784109993198e-05,-0.0001549322238664,7.409555845094536e-05,0.5137243137843108,MAE-H/97
diffuse_or_global,1983,0.0374708057390883,-0.4591671847750067,-0.4879096074188546,0.0287424226438479,0.0113980904603597,0.0472749285857121,0.0018499075046247,-0.0876448404229895,-0.0894592825898668,0.0018144421668773,-0.0016146172427577,0.0053180993638241,0.3045847707614619,0.0050246058782422,0.0040524693013846,0.0009721365764797,0.0008383742732794,0.0011116523568264,4.999750012499375e-05,MAE-H/300
localized,890,0.0362032611499656,-0.3126607533000158,-0.3740537324313367,0.0613929791313208,0.0417994378671217,0.0816205355052449,4.999750012499375e-05,-0.0437979355676811,-0.0532956907334685,0.0094977551657873,0.0059290586859838,0.0133770204626371,4.999750012499375e-05,0.004009507278378,0.0041020916603929,-9.25843827159308e-05,-0.0003641316880238,0.0001671879672047,0.4973751312434378,MAE-H/300
