condition,perturbation,level,macro_auroc,macro_auroc_ci95_low,macro_auroc_ci95_high,f1,optimal_f1,auroc_drop,cosine_drift,l2_drift,auroc_Aortic enlargement,auroc_Atelectasis,auroc_Calcification,auroc_Cardiomegaly,auroc_Consolidation,auroc_ILD,auroc_Infiltration,auroc_Lung Opacity,auroc_Nodule/Mass,auroc_Other lesion,auroc_Pleural effusion,auroc_Pleural thickening,auroc_Pneumothorax,auroc_Pulmonary fibrosis,auroc_No finding,repeat,repeat_count,macro_auroc_std,macro_auroc_ci95_low_std,macro_auroc_ci95_high_std,f1_std,optimal_f1_std,auroc_drop_std,cosine_drift_std,l2_drift_std,auroc_Aortic enlargement_std,auroc_Atelectasis_std,auroc_Calcification_std,auroc_Cardiomegaly_std,auroc_Consolidation_std,auroc_ILD_std,auroc_Infiltration_std,auroc_Lung Opacity_std,auroc_Nodule/Mass_std,auroc_Other lesion_std,auroc_Pleural effusion_std,auroc_Pleural thickening_std,auroc_Pneumothorax_std,auroc_Pulmonary fibrosis_std,auroc_No finding_std,model
low_pass/cutoff=0.35,low_pass,cutoff=0.35,0.8917655999047678,0.8809483604864012,0.9023086472523472,0.3256515381459865,0.7023303633282668,0.0187077006254587,0.0319478549063205,10.788564682006836,0.9518660062048934,0.8971832339934628,0.8163873273129597,0.950932628779732,0.9126562704756912,0.9099970098674376,0.8568460625247329,0.8813859676659865,0.8231531091999412,0.8736134728580772,0.9119455004135074,0.8908831689964493,0.8718786250686855,0.8798175781471071,0.9479380370628536,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/95
low_pass/cutoff=0.25,low_pass,cutoff=0.25,0.8313202031599438,0.8167031604278217,0.8450978433211803,0.2646412749424082,0.6416915794045799,0.0791530973702827,0.1450344920158386,22.586450576782227,0.9249753839552896,0.7539175158623341,0.7579092159559836,0.9276091788950006,0.825936312409907,0.8477285826338301,0.7923117827463395,0.8392230419086485,0.7744044246180638,0.8250228907782864,0.8504892592309456,0.8368899473317163,0.7894102204041762,0.81685657152559,0.9071187191430424,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/95
low_pass/cutoff=0.15,low_pass,cutoff=0.15,0.8005234007766217,0.7886458540959295,0.8157460035923209,0.2107280044543345,0.6215943333329955,0.1099498997536049,0.2526514828205108,31.00973129272461,0.8768716445168104,0.7148985771966929,0.7284440224866934,0.8917564823626823,0.7890079937098676,0.7188018668827652,0.7566345963593194,0.8368121174070003,0.7616363910833794,0.8167920209287116,0.8331549575720512,0.8227057270647533,0.7900360217351486,0.8004631289026394,0.8698354634408079,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/95
high_suppression/cutoff=0.35_keep=0.50,high_suppression,cutoff=0.35_keep=0.50,0.8979633470873137,0.8877101007041143,0.907443238417842,0.3137584629402768,0.7095795984815312,0.0125099534429128,0.0153933614492416,7.46505069732666,0.9545545183506424,0.8909584695250913,0.828340858800311,0.9526556471368348,0.921881797929498,0.9115527455050508,0.8676388751483972,0.8906921990268404,0.8320159097223894,0.8772302158273381,0.9215812663752424,0.897610621852898,0.8817540753403749,0.8863895753551283,0.9545934304136658,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/95
high_suppression/cutoff=0.25_keep=0.25,high_suppression,cutoff=0.25_keep=0.25,0.8574286382233396,0.8429859435567542,0.8703095177741822,0.2584493320461908,0.6635855733729452,0.0530446623068869,0.0872682258486747,17.800783157348633,0.9370716258141172,0.7954359738511825,0.796195652173913,0.9398575546538676,0.8773057266413313,0.8616868681178199,0.8229527354570637,0.8583581855281747,0.7989516035521212,0.847083060824068,0.8836410894357535,0.860276900083906,0.8169912693082606,0.8411908826802996,0.9244304452282152,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/95
high_suppression/cutoff=0.15_keep=0.00,high_suppression,cutoff=0.15_keep=0.00,0.8005234007766217,0.7886458540959295,0.8157460035923209,0.2107280044543345,0.6215943333329955,0.1099498997536049,0.2526514828205108,31.00973129272461,0.8768716445168104,0.7148985771966929,0.7284440224866934,0.8917564823626823,0.7890079937098676,0.7188018668827652,0.7566345963593194,0.8368121174070003,0.7616363910833794,0.8167920209287116,0.8331549575720512,0.8227057270647533,0.7900360217351486,0.8004631289026394,0.8698354634408079,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/95
band_corrupt/band=0.00-0.20,band_corrupt,band=0.00-0.20,0.8688155970638738,0.8575340369381075,0.8789481505409695,0.341773473019458,0.6766719923062628,0.0416577034663527,0.0955577716231346,17.59465789794922,0.9104890479229008,0.8790617189002116,0.8057681956820764,0.9225380421151724,0.9023928711833312,0.8933432715517055,0.8499888702018203,0.8417595353947575,0.8039004198398964,0.8330395683453236,0.8868605402700656,0.8673345897630577,0.8689022528847915,0.8636340055462279,0.90322102635677,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/95
band_corrupt/band=0.20-0.45,band_corrupt,band=0.20-0.45,0.6045412402601964,0.5890724718252782,0.6201363677814552,0.1065826425101687,0.5155610688054164,0.3059320602700301,0.8482766151428223,78.4854507446289,0.8024961219415596,0.4483753124399153,0.4804512289934811,0.4978230358793235,0.6493985060935659,0.5532785286814383,0.5611798822714682,0.53703814157903,0.6097457988662791,0.6763374754741662,0.7062463948405391,0.6749491924163259,0.5842542279748459,0.562331396555302,0.7242133598957049,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/95
band_corrupt/band=0.45-1.00,band_corrupt,band=0.45-1.00,0.719024221132135,0.7026387268184798,0.7360047835444109,0.1047728557210852,0.5291755125373936,0.1914490793980915,0.9658024907112122,102.31170654296876,0.8387068050299243,0.6980989232839838,0.6613240834878298,0.8359748367169543,0.6643218451054907,0.7410198518800999,0.6709196923229125,0.6886736776016323,0.6536703720801,0.7160611510791367,0.7136026575671862,0.7350223633183712,0.674568044447158,0.7010495859193722,0.7923494271418721,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/95
gaussian_noise/sigma=0.05,gaussian_noise,sigma=0.05,0.7647339765458231,0.7502474853055936,0.7787621827011432,0.1148454378183541,0.5716624243797234,0.1457393239844034,0.8887580513954163,90.54092254638672,0.8518847088980813,0.7420856566044991,0.5408404850188386,0.8653039418124848,0.790493513301009,0.7819452329053256,0.7467621562129005,0.750778213781196,0.7170327230084953,0.7851424133420537,0.8143639977482955,0.7883996085047456,0.7000274742047744,0.7288782329415759,0.8670712899030713,mean,5.0,0.0019266991847219,0.0019561559999878,0.0021998289451706,0.0006706083953582,0.0017586528105539,0.0019266991847219,0.0005430716197244,0.0671832615862138,0.002091007290226,0.0117605886772121,0.0058594793594847,0.0019100513539013,0.0063726304919267,0.0116195826961497,0.0120486833010835,0.0043099745337329,0.0104643593753598,0.0046362913251259,0.0025621039659621,0.0033087113292771,0.0133495272347246,0.0025367536731716,0.0011362681538663,I-JEPA-H/95
